,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
227,单价便宜  中间楼层  采光刺眼  拎包入住,72万,8182,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共24层),88㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
228,中间楼层  采光好 房东诚心 出售   价格好谈,98万,8463,新北区璜土,文鑫苑,3室2厅1厨1卫,中楼层 (共34层),115.81㎡,暂无数据,暂无数据,平房,南,钢混结构,其他,三梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
229,单价便宜  中间楼层  采光刺眼  拎包入住,83万,9941,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共32层),83.5㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 8万元 建设银行 业主自还,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
230,文鑫苑（世纪学府）次新房 楼层好 东边户116平方 85万,85万,7328,新北区璜土,文鑫苑,3室2厅1厨2卫,中楼层 (共30层),116㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,三梯六户,有,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
231,单价便宜  中间楼层  采光刺眼  拎包入住,92万,8071,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共32层),114㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
232,单价便宜  中间楼层  采光刺眼  拎包入住,75万,8005,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共18层),93.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
233,文鑫苑 2室2厅 南,90万,9279,新北区璜土,文鑫苑,2室2厅1厨1卫,高楼层 (共30层),97㎡,暂无数据,暂无数据,塔楼,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2024-03-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,
234,中间楼层 采光好 房东诚心 价格好谈 看房提前约,115万,10000,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共33层),115㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
235,中间楼层  采光好 房东诚心 出售价格好谈 看房提前约,49万,8910,新北区璜土,龙城福第,1室1厅1厨1卫,高楼层 (共18层),55㎡,暂无数据,暂无数据,板塔结合,东北,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 32万元 建设银行 客户偿还,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
236,金美林花园 3室2厅 南,90万,7143,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共10层),126㎡,暂无数据,暂无数据,平房,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
237,纯毛坯   好楼层  房东诚心出售   价格好谈,70万,7292,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共18层),96㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
238,纯毛坯   好楼层  房东诚心出售   价格好谈,82万,8200,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共28层),100㎡,暂无数据,暂无数据,板塔结合,东北,钢混结构,其他,两梯五户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
239,中间楼层，采光好，房东诚心 出售，看房提前约,53万,10129,新北区璜土,龙城福第,1室1厅1厨1卫,中楼层 (共18层),52.33㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
240,龙城福第 3室2厅 南,85万,7884,新北区璜土,龙城福第,3室2厅1厨1卫,中楼层 (共18层),107.82㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
241,米兰阳光花苑 楼层好 95.8平方,70万,7363,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,中楼层 (共15层),95.08㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,2021-01-11,普通住宅,暂无数据,非共有,有抵押 15万元 常州工行,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
242,中间楼层，采光好，房东诚心 价格好谈，看房提前约,100万,8696,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共33层),115㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
243,文鑫苑 3室2厅 南,80万,8276,新北区璜土,文鑫苑,3室2厅1厨1卫,中楼层 (共30层),96.67㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,三梯六户,有,暂无数据,2023-12-01,商品房,2020-05-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,
244,采光好 房东诚心出售   价格好谈,60万,7229,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共33层),83㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
