,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
709,房东诚心售卖，房子精装修大平方！！！,155万,14486,经开区雕庄,湖港名居一期,3室2厅1厨1卫,高楼层 (共18层),107㎡,暂无数据,暂无数据,板塔结合,南,框架结构,简装,暂无数据,暂无数据,暂无数据,2023-01-07,商品房,2018-12-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区绿化好，商场娱乐场所齐全，适合居住,,1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。3）三套一律按3%缴纳契税。,小区道路四通八达，马路过去就有大润发购物广场，生活惬意，路边停车位很多。,,,,该房间三个大房空间通透，空间利用的好，装修的好，适合一家人居住,,,,,
710,河苑家园标准大套三，房东诚心出售。,113万,8726,经开区雕庄,河苑家园,3室2厅1厨2卫,高楼层 (共6层),129.51㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-14,商品房,2014-12-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五年，户型方正，采光视野好，房东诚心出售。,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%.,,,,根据百度地图显示有319路69路317路公交车站，道路宽敞适合有车出行人士。,,,,,此小区配套齐全有菜场，生活、交通便利，邻里关系融洽治安好，适合上班族。,
711,福成上城 2室2厅 南,80.8万,9117,经开区雕庄,福成上城,2室2厅1厨1卫,高楼层 (共33层),88.63㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,两梯三户,有,暂无数据,2023-02-02,商品房,2021-04-07,普通住宅,满两年,共有,无抵押,已上传房本照片,,,,,,,,,,,,,
712,锦凤合鸣 3室2厅 南,210万,18214,天宁区雕庄,锦凤合鸣,3室2厅1厨1卫,中楼层 (共27层),115.3㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2023-06-26,商品房,2022-05-19,普通住宅,未满两年,非共有,暂无数据,已上传房本照片,,,,,,,,,,,,,
713,金科衡麓世家 正衡，凤凰湿地公园,300万,22901,天宁区雕庄,金科中梁衡麓世家,4室2厅1厨2卫,高楼层 (共18层),131㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,卖点： 交通便利，小区设备齐全，房子产权清晰,小区介绍： 小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻 税费解析,"税费解析：
 首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",配套： 交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
714,菱溪名居纯毛坯三房两厅，楼层好 采光好 看房方便,135万,11947,天宁区雕庄,菱溪名居,3室2厅1厨1卫,低楼层 (共24层),113㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2019-08-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"隶属于市政府规划的繁华新城板块,发展无限","位置：小区地理位置，绿化，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24保安巡逻","税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，无抵押，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,
715,中海铂悦公馆 一楼带院子地下室 采光没影响,478万,29097,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,低楼层 (共17层),164.28㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区位置好，环境优美，舒适安静，适合居住,1.小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，儿童游乐设施，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流，地上有会客停车位 4.小区物业国家一级资质物业，24小时保安巡逻,此房不满二，满二个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光充足,,,,,
716,金科中梁衡麓世家 三房 楼层好 采光佳 有正衡,270万,20770,天宁区雕庄,金科中梁衡麓世家,4室2厅1厨2卫,低楼层 (共18层),130㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高,小区封闭式的，24小时有物业巡逻，很安全。小区里面有一处的儿童游乐场所，还有个健身区,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,,,,,,,,
717,凤凰公园运河畔  小高层一梯一户 看房方便 诚心售,235万,16858,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,高楼层 (共11层),139.4㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,锦凤合鸣 毛坯四房，业主诚心出售，采光好。,小区环境优美，绿化覆盖率高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 2、小区地理位置优越，交通便捷，四通发达，设施齐全，生活便利,,小区商圈：万达广场，吾悦广场，福克斯流行广场、湖塘乐购等，学府氛围浓郁。边有大面积绿地公园，方便休闲、活动,,,,户型周正，格局分布合理，空间感好，通透性好，适宜居住； 2、楼层好，朝向南北，视野开阔，采光透亮,,,,,
718,格局分布合理，采光好，新小区，居住舒适,135万,10824,经开区雕庄,锦艺旭辉·都会江来,3室2厅1厨2卫,高楼层 (共27层),124.73㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-11,商品房,2023-07-31,普通住宅,未满两年,非共有,有抵押,已上传房本照片,格局分布合理，采光好，新小区，居住舒适,1：小区生活实施齐全，有购物，买菜，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：停车位充足，有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,楼层佳，朝向南北，视野开阔，采光透亮，居住舒适............,,,,,
719,萃园运河畔，业主诚心出售  看房方便,170万,15888,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,低楼层 (共11层),107㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房三开间朝南 三房两卫 一梯一户 有钥匙随时看房,,,,业主外地发展 诚心出售此房 满两年 有钥匙 随时看房，全程陪同。,此房有房贷 业主可以随时结清 随时签约过户，产权人为夫妻，已满二,,三开间朝南，三房二卫，前面是是十一层小高层，采光无遮，视野开阔。,,,,,
720,萃园运河畔，业主诚心出售  看房方便,170万,15888,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,低楼层 (共11层),107㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房三开间朝南 三房两卫 一梯一户 有钥匙随时看房,,,,业主外地发展 诚心出售此房 满两年 有钥匙 随时看房，全程陪同。,此房有房贷 业主可以随时结清 随时签约过户，产权人为夫妻，已满二,,三开间朝南，三房二卫，前面是是十一层小高层，采光无遮，视野开阔。,,,,,
721,萃园运河畔，菱溪名居商品房 中间楼层采光好 随时看,118万,12931,天宁区雕庄,菱溪名居,2室2厅1厨1卫,中楼层 (共24层),91.26㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-11-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二，楼层好，采光足，交通便利。,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
722,全天采光 中间楼层 有钥匙随时看房 诚心出售,284.9万,20206,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),141㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全天采光 中间楼层 有钥匙随时看房 诚心出售,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
723,正蘅未用 衡麓世家 三房朝南 中间好楼层采光好,240万,24796,天宁区雕庄,金科中梁衡麓世家,3室2厅1厨1卫,中楼层 (共20层),96.79㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,正蘅，毛坯三房，小区环境优美，楼间开阔，居住舒适性高,小区封闭式的，24小时有物业巡逻，很安全。小区里面有一处的儿童游乐场所，还有个健身区,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
724,锦凤合鸣纯毛坯好房 采光好 设计空间大 价格可谈,195万,14886,天宁区雕庄,锦凤合鸣,3室2厅1厨2卫,中楼层 (共27层),131㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-09,商品房,2022-10-09,普通住宅,未满两年,共有,有抵押 133万元 工行,已上传房本照片,采光无遮挡 户型方正 价格可谈 房东诚售,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
