,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
2984,天山花园  不靠铁路  精装大两室 房东诚心出售,120万,12936,新北区三井,天山花园,2室2厅1厨1卫,中楼层 (共24层),92.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-23,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20,未上传房本照片,楼层好，采光视线赞。正规大两室，总价低，低门槛,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,这套房子90平米以下，首套需要缴纳1个点契税和1个点个税",此房产权清晰，房源真实，业主诚心出售，无抵押，无贷款，看房方便，过户全程陪同,,,小区配套齐全，门口有飞龙公园，飞龙吾悦广场，有饭店、药房，公交站齐全。,,,,,,,,,
2985,天山花园 2室1厅 南,118万,13802,新北区三井,天山花园,2室1厅1厨2卫,高楼层 (共18层),85.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 60万元 业主自还,未上传房本照片,,,,,,,,,,,,,,,,
2986,玉龙湾清爽两房 全明户型 总价低 视野好,130万,14607,新北区三井,玉龙湾花园,2室1厅1厨1卫,高楼层 (共17层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2023-05-07,商品房,2018-01-04,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,玉龙湾清爽两房 全明户型 总价低 视野好 客厅朝南连阳台,,,,,麻雀虽小五脏俱全，厨房面积还比较大，正经两房，全明户型，通风不错的,,房东是置换卖房的，诚心，产权清晰，随时办理手续，房东亲自到场安全,,,,装修清爽简单的，可以考虑拎包入住，也可以根据自己喜好重新装修，拆除也方便的,,,,
2987,新装修）雅居乐星河湾 全天采光 房东诚售 价格可谈,183万,18749,新北区三井,雅居乐星河湾,2室2厅1厨1卫,高楼层 (共33层),97.61㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-18,商品房,2021-03-12,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,新北万达商圈，无遮挡视野好，房东诚信出售 百米楼间距,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘.",,,,,,,
2988,此房价格便宜，视野开阔无遮挡，精装现房，拎包入住,35万,8054,新北区三井,新北万达广场,1室1厅1厨1卫,中楼层 (共31层),43.46㎡,平层,暂无数据,塔楼,北,钢混结构,精装,三梯二十四户,有,暂无数据,2022-02-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房价格便宜，视野开阔无遮挡，精装现房，拎包入住,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便.。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,,
2989,新城蓝钻 朝南 落地飘窗 房东诚售,65万,11117,天宁区红梅,新城蓝钻苑（东区）,1室1厅1厨1卫,高楼层 (共27层),58.47㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,暂无数据,2022-04-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,朝南大阳台住宅，较好装修，设施齐全，拎包即住,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,此房产权清晰，房源真实，业主诚心出售，看房提前联系，过户全程陪同,,,生活配套齐全。医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显,,,,,,,,,
2990,此房户型方正楼层好，诚意出售随时看房，成熟小区,115万,12922,新北区三井,玉龙湾花园,2室2厅1厨1卫,高楼层 (共17层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯三户,有,暂无数据,2023-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正楼层好，诚意出售随时看房，成熟小区配套齐全,小区环境优美，舒适安静，物业好，价格便宜还服务好，是很适合居住。,,,,,幼儿园: 三之三双语幼儿园、大风车幼儿园、阿兰贝尔国际幼儿园 医院: 华山医院、三井医院、武进医院银行,,玉龙湾花园位于飞龙居住区东南角，西侧为飞龙路，距金色新城直线距离1.7公里，45路、43路等公交车经过,,,,,,,
2991,满五唯一，精装装修保养好，拎包即住，随时可签约,129万,14660,新北区三井,绿都万和城三区,2室2厅1厨1卫,中楼层 (共26层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,满五唯一，精装装修保养好，拎包即住，随时可签约,小区门口有烟酒店等，耶鲁双语幼儿园，往东太湖路上有，农业银行，邮政银行，中国 银行，工商银行，三井医院，万达广场，府琛广场等,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税 ： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,,,小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可 到万达商圈,,,,,,,
2992,天山花园 小两室 满五 省税 看房方便,85万,13600,新北区三井,天山花园,2室1厅1厨1卫,中楼层 (共15层),62.5㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯四户,有,暂无数据,2023-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万左右,未上传房本照片,新市府，飞龙吾悦万和城旁，天山花园，中间位置采光好，配套好,,,,房子是两房，适合首付不多，但需要多个房间的客户 3，小区门口就是幼儿园小区内有儿童游乐场，适合有孩子和老人的家庭,本房源位于小区内，全天采光，视野无遮挡。 2、户型方正、朝南采光好 3、此房源为本小区为数不多的好房，产权明晰,生活设施齐全，各大银行、市场、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房间每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点。,,,,,,,,,
2993,雅居乐星河湾 公寓 朝东向 精装修,39万,6725,新北区三井,雅居乐星河湾,1室1厅1厨1卫,高楼层 (共29层),58㎡,平层,暂无数据,塔楼,东,钢混结构,精装,四梯二十四户,有,暂无数据,2022-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,公寓楼，精装修，品质酒店随时解约，满两年，地段楼层好,该楼建成于2015年，位于小区门口，地上地下免费停车位充足，总高29层4梯24户，可创业开公司和出租，自住,,,,,小区门口自带中型生活chao市，烟酒店等，小区自带御景天品质酒店以及会所，包含体育馆，健身房，游泳池。小区东门有太湖综合市场和汇丰菜场。中国银行，中国工商银行，中国农业银行，中国邮政储蓄银行环伺其周，万达广场，丰臣国际广场也近在咫尺。,,小区楼下有共享单车，和两个公交站台，有公交有32路，32A路，46路，111路，213路，40路，可到达西林公交站台，江南商场，奔牛，火车站等，交通四通八达，小区南门口即是龙城大道以及龙江高架东西环城主干道，可通往常州各个区域。,,,,,,,
2994,房东诚售世茂一期，精装自住大三房 中上楼层,229万,17752,新北区恐龙园,世茂香槟湖一期,3室2厅1厨2卫,高楼层 (共31层),129㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
2995,公寓住宅，毛坯交付，空间灵活度高，顶楼复式。,53万,9823,新北区三井,银河湾第一城一期,1室1厅1厨1卫,高楼层 (共19层),53.96㎡,平层,暂无数据,板塔结合,东,钢混结构,毛坯,两梯十七户,有,暂无数据,2021-07-04,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,此房满二，小区配套成熟，小区环境优雅，居住舒适。,小区安静优雅，绿化较好，带有休闲设施，健身器材，可在小区花园游玩，十分有情调。,,,,,飞龙幼儿园，商场：万达广场，环球港，购物方便。飞龙体育公园，华山公园，阳光康复医院,,距离BRT站台直线300米，有B1、B12、B13、53、31、11、24、18、36、40、46路公交车！邻近龙江路高架桥.,,,,,商水,商电,
2996,小区环境优雅，配套成熟，交通便利，环境舒适。,55万,14535,新北区恐龙园,龙湖星图,1室1厅1厨1卫,高楼层 (共31层),37.84㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-17,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，环境舒适。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,物业设施.齐农贸菜场.商场饮食.近在咫尺起居很方便，环境好.,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,未知,未知,
2997,龙湖星图 楼栋位置好，全天采光，风景秀丽,118万,10000,新北区恐龙园,龙湖星图,2室1厅1厨1卫,低楼层 (共26层),118㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-03,商品房,暂无数据,商业办公类,暂无数据,非共有,无抵押,未上传房本照片,龙湖星图 楼栋位置好，全天采光，风景秀丽,世茂香槟湖地里位置在新北区恐龙园北邻，南邻青龙生活区，东西侧为教育科研用地，东至东经120度，南至北塘河，西至老藻江河，北到河海东路。世茂香槟湖总用地面积约为92万平方，建筑总面积约为136万平米。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,恐龙园 迪诺水镇 江南环球港 奥体中X 新北万达广场 常发广场 沃尔玛 华润万家等,,,,,,,未知,未知,
2998,新北大名城精装两房，中间楼层，拎包即住,130万,14640,新北区三井,大名城西区二区,2室1厅1厨1卫,中楼层 (共31层),88.8㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精装修，中间楼层，采光不错，户型方正,小区环境优美，与飞龙公园、飞龙吾悦广场相望，为社区居民提供了优美的生活环境。大名城社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等,,,,,公园：飞龙体育公园，华山公园购物：吾悦广场（在建），新北万达，麦德龙,,龙城大道高架，飞龙路，长江路，通江路等主干道，出行便利。高架通达全城,,,,,,,
2999,太湖路新城樾府社区底商门口开阔,93万,24032,新北区三井,新城樾府,1室0厅0厨0卫,低楼层 (共1层),38.7㎡,平层,暂无数据,板楼,北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-07-04,商品房,暂无数据,底商,暂无数据,非共有,无抵押,未上传房本照片,小区在地铁口 生活配套全 小区一共四栋 绿化高 环境好,,,此房产权清晰无抵押，房源真实，业主诚心出售，看房方便，过户全程陪同,,户型方正 楼层挑高比较高 无承重柱 可以按照商家需求任意做分割设计,,,晋陵路与太湖路的交叉口 地铁沿线 多路公交路线 小区门口共享单车,,,,,,,
