,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
1960,地铁一号线直达 万达和环球港商圈，花园住宅小区急,269万,18764,新北区河海,常信怀德名园,3室2厅1厨2卫,高楼层 (共31层),143.36㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-11-01,商品房,2011-03-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房是小区后面一排 位置好 房子是两梯梯三户 房型是客厅朝南 餐厅朝北 厨房朝北在餐厅边上 真正的南北通户型 两房房间朝南在客厅的两边 另外一个房间朝北,,,,业主自己房东已经买好 现在要空出来这套房子 所以也诚意出售的啊,,,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,,,112441930307,"此房满五年 而且户型是真正的南北通 两房南一房北户型，诚意卖,,",,,,
1961,富都花园  1楼带院子  新上,85万,12879,新北区河海,富都花苑北村西区,2室1厅1厨1卫,低楼层 (共6层),66㎡,暂无数据,暂无数据,板塔结合,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-11-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地处繁华地带，江南环球港近在咫尺，交通便利，配套齐全,,综合商场: 五星电器新北卖场、国美金太阳电器新北区店 医院: 常州三三六医院、华山医院 银行/ATM: 建设银行、中国工商银行、农业信用社 邮局/快递: 长江路邮政支局、中国邮政(黄河路) 其他: 锦江大酒店、中发酒家、顺天源面食富都店、燕阳便利店,公交：11路、13路、36路、18路 地铁一号线 小区周 边有很多共享单车，出行方便,,,,,,,,,,,,
1962,富都花苑北村东区交通便利配套成熟,69.8万,11103,新北区河海,富都花苑北村东区,2室1厅1厨1卫,中楼层 (共6层),62.87㎡,暂无数据,62.87㎡,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-10-15,商品房,2012-03-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,"生活设施齐 ，农贸菜场, 商场 ,饮食近在咫尺, 生活起居很方便",,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,,,,,,,
1963,华亭苑  精装大两房  落地窗采光好  急售,158万,14536,新北区河海,华亭苑,3室2厅1厨1卫,高楼层 (共14层),108.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-24,商品房,2016-05-09,普通住宅,暂无数据,共有,有抵押 40万元,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适房东,,公园很多，有新北公园，艺术公园，嘉顺花园，南公园花园，常州高铁生态公园。 还有很多广场，荣盛曼哈顿广场，万达广场，江南环球港。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,小区绿化覆盖率高 森林氧吧 环境优美 居住人员素质高 安保得力，设施齐全。,,,,,,
1964,富都小区，顶复，外阁楼，婚装，诚心出售,105万,12353,新北区河海,富都花苑北村西区,3室2厅2厨1卫,高楼层 (共6层),85㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-06-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 24万元,未上传房本照片,此房户型好，买一层得两层，外阁楼，适合刚需人群！挨着环球港,,挨着新区公园，江南环球港和万达广场！上学方便，交通便利！！！！,小区有地铁一号线新区公园站和环球港站，2公里处就是沪蓉高速公路，直达全国各地！,此房两房朝南采光好，光线充足，卫生间带窗户采光通风性好！楼上楼下两层,,,,,,,,,,,
1965,万达商圈 楼层好 全天采光 拎包入住,186万,15122,新北区河海,凤凰苑,3室2厅1厨1卫,低楼层 (共18层),123㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，面积适中 布局舒展，尺度宽松，动静分区,,,,全明设计，南北通风，即充分采光，又有利于室内空气流通，餐厅北面带阳台设计，采光，观景，生活更方便,客卫干湿分离又照顾到了3个卧室及客厅的便利性，全明设计，南北通风，即充分采光，又有利于室内空气流通,,,,凤凰苑：自由自宅整体规划走向呈Ｌ型布局，全框架结构建筑，由一栋１８层高层连同１１层辅楼组成，十多万平方米的新区公园，蓝港广场二大绿地围合相拥,,,,,,
1966,一号线地铁口小高层电梯景观房，配套成熟齐全,228万,19218,新北区河海,常信怀德名园,3室2厅1厨1卫,中楼层 (共11层),118.64㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,房子位于地铁口，小高层电梯房，自住精装修，三开间双卧朝南户型,,,出门300米就是地铁一号线新区公园站，公交线19.B12.44.57路出门即是,户型是经典的三开间双卧朝南全明户型，动静分离，三个卧室都很大，得房率很高,,,,,,,,,,,
1967,中海锦龙湾 央企物业管理制度 出门步行百米就是恐龙园,860万,30070,新北区龙虎塘,锦珑湾花园,4室3厅1厨4卫,低楼层 (共3层),286㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2019-09-25,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。 .,,生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,税费：首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.6的增值税。 配套齐全,,,,,,,联排
1968,户型方正南北通风得房率高前后院子打位置好,798万,27854,新北区龙虎塘,锦珑湾花园,5室2厅1厨2卫,低楼层 (共3层),286.5㎡,,暂无数据,,南,钢混结构,简装,,,暂无数据,2020-08-13,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,户型方正南北通风恐龙园旁别墅得房率高前后院子打位置好,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",小区环境好 有操场有小朋友玩的地方绿化多入住率也很高物业管理环境好,,,,,,联排
1969,美林湖旁锦龙湾边户别墅带一转花园看房方便,950万,30945,新北区龙虎塘,锦珑湾花园,6室3厅1厨5卫,低楼层 (共3层),307㎡,,暂无数据,,南 北,钢混结构,毛坯,,,暂无数据,2020-08-08,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房满两年，带前花园，业主诚心出售,适宜一家三代居住，动静分离，互不打扰，纯毛坯，可以根据自己的喜好来装修,,交通出行方便，近地铁，近恐龙园，近万达近环球港，近高速高架000,,,,业主买的养老自住房，目前出售多余房产，工作调离0000000,,,,,,,,联排
1970,诚意出售，随时看房！龙小 龙中都可以上！,210万,20817,新北区河海,新名园,3室2厅1厨1卫,低楼层 (共21层),100.88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-09-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子边上就是龙小 龙中 小区人车分流 菜场 卫生院都在,,,,主力户型哦 3室户型 两房朝南一样大 随时装修 通透性好 欢迎随时看房,,,,目前在常州首房首贷首付3成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,小区人车分流 安静和谐 地段优越 栋数少 好管理 出行方便 欢迎随时看房,,,,,,
1971,人车分流小区天润园，大三室，诚心出售，有钥匙，好谈,235万,17926,新北区河海,天润园,3室2厅1厨2卫,低楼层 (共32层),131.1㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,人车分流小区天润园，大三室，诚心出售，有钥匙，好谈,适宜家有老人小孩居住，人车分流小区，楼下菜场，医院都方便，都在家门口。,小区东边是恐龙园，南门是河海路主干道，西边就是地铁一号线河海路站口，北门是龙城小.学以及龙城中.学，配套完善，交通便利，适合居住，东边高架高速，方便。,,,,,,该房是纯商品房，已经满两年，没有高额的增值税，税费：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%,,,,,,,
1972,龙小龙中边上    地段优越  精装修,200万,15699,新北区河海,天润园,3室2厅1厨2卫,中楼层 (共30层),127.4㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-02-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子是精装修自住房  采光好  地段佳   欢迎随时看房,,,,经典的三室两厅两卫户型  精装修  带暖气 两房朝南  欢迎随时看房,,,,目前在常州首房首贷首付2成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,小区人车分流  视野开阔  新北区恐龙园商圈  地段优越  欢迎随时看房,,,,,,
1973,绿色家园 3室1厅 南,135万,11519,新北区河海,绿色家园,3室1厅1厨2卫,中楼层 (共6层),117.2㎡,暂无数据,暂无数据,板塔结合,南,混合结构,简装,暂无数据,无,暂无数据,2023-03-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1974,朗诗科技住宅，房东几乎未住 保养好,500万,31241,新北区河海,朗诗绿郡花园,4室2厅1厨2卫,低楼层 (共31层),160.05㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满2年，房东诚意出售，随时联系看房，置业居家好选择,本房是科技住宅，恒湿恒温恒氧，四季如春，24小时过滤通风换气合适各种人群居住,,,,,,,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%.,朗诗绿郡是南京朗诗置业在新北开发的住宅小区，小区秉承科技住宅住宅理念，打造恒湿恒温恒氧生态环境,,,,,,
1975,急售天安花园精装三室二厅双卫，中间楼层，视野开阔,265万,16988,新北区河海,天安花园,3室2厅1厨2卫,高楼层 (共19层),156㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野宽阔，采光充足，格局分明，明厨明卫，开间朝南,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年并且房东名下只有一套住房，免收个税，否则个税1%",,,,,,,
1976,天润园 精装采光好，无遮挡，格局合理，利用率高,240万,19200,新北区河海,天润园,3室2厅1厨2卫,中楼层 (共32层),125㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地段好，楼层好，中上楼层，视野充足，配套设施齐全，交通便利,,,,,,,小区人车分流 视野开阔 有水系景观 环小区跑到 欢迎随时看房,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值。此房为满2年，首房首贷只需首付2成，目前贷款利率4.1,小区位于恐龙园旁，环境不错，园林绿化做的别具一格，物业管理严格，小区居民素质好。是安居乐业的优质小区之一,,,,,,
