,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
725,江山樾次新小区，中间楼层的洋房，户型方正毛坯房,250万,19676,新北区龙虎塘,江山樾花园,4室2厅1厨2卫,中楼层 (共7层),127.06㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 120万元,未上传房本照片,小区地理位置优越，交通便捷，新北区次新小区，生活配套齐全,,,业主诚意出售，手续齐全，价格美丽，看房方便，有密码锁。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适，视野开阔，采光透亮，唯一美中不足的是在南边最前排，前面是高铁,,,门口零食店，小吃店，水果店林立，南边的话500米的距离是常州唯一的江南环球港,,,,,,
726,美林湖别墅区，纯毛坯，有天有地有院子,860万,22752,新北区龙虎塘,美林湖一区,5室3厅1厨4卫,低楼层 (共3层),378㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-09-05,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,美林湖别墅区，纯毛坯，有天有地有院子,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,,,,,暂无数据,
727,公园旁，纯毛坯，次新小区，随时看房,170万,14050,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共18层),121㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,三江公园纯毛坯三房两卫，一梯一户，次新小区,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,,关于税费主要与买方有关，个税1%，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,
728,小高层房源  得房率不错  欢迎来电咨询,145万,13628,新北区龙虎塘,牡丹·三江公园,3室1厅1厨2卫,中楼层 (共12层),106.4㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元,未上传房本照片,优质房源，户型方正，真实有效，房东诚心出售,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,亲和力爆棚的业主，目前不在常州发展所以诚心出售，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
729,牡丹水岸国际三房两卫交通便捷一梯两户小高层,198万,16364,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨2卫,低楼层 (共18层),121㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-04-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型正，交通便捷，设施齐全，门口就是地铁口，BRT。,,,税费解析： 存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适，一梯两户，得房率高,小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,小区环境小区环境优美 小区有一个大花园 2.小区教育资源成熟 医院 警察局 银行 饭店 3.小区配套设施完善、环境优美 房，七十年产权商品房 4.三房朝南、客厅朝西，全明户型,,,,,,,
730,三江花园 临环球港 毛坯洋房 户型方正，采光好,240万,17519,新北区龙虎塘,牡丹·三江公园,4室2厅1厨2卫,中楼层 (共20层),137㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,三江花园 临环球港，繁华地段，毛坯洋房 户型方正，采光好,,,此房满二。关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,三江口公园 环球港、万达、丰臣综合商场、长江贸易、 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,
731,位置优越设施齐全，门口就是地铁，BRT，业主诚心出售,178万,17978,新北区龙虎塘,江山樾花园,3室2厅1厨2卫,低楼层 (共20层),99.01㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-20,商品房,2022-01-25,普通住宅,满两年,共有,无抵押,已上传房本照片,地理位置优越，交通便捷，设施齐全，门口就是地铁口，BRT,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，小高层得房率高",小区生活设施齐全 菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安,,,,,,,,
732,美的阳光城江山樾 纯毛坯 看房方便有钥匙 急卖,245万,19155,新北区龙虎塘,江山樾花园,4室2厅1厨2卫,中楼层 (共11层),127.91㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适，精装修双阳台,小区生活设施齐全 菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安,,,,,,,,
733,次新小高层 临环球港， 地铁 公园近在咫尺 看房有钥匙,188万,13624,新北区龙虎塘,牡丹·三江公园,4室2厅1厨2卫,高楼层 (共20层),138㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,临环球港，繁华地段，毛坯小高层 户型方正，采光好,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,
734,三江公园152平双阳台通透三室格局灵活有钥匙随时看房,245万,16119,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共17层),152㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,三江公园152平双阳台通透三室格局灵活有钥匙方便看房,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,,,,,,,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,房子现在是空置全新毛坯状态，买家可以按个人喜好灵活装修设计，打造梦想中的家。,,
735,三江公园！龙湖物业管理！24小时保安巡逻,180万,15617,新北区龙虎塘,牡丹三江公馆,3室2厅1厨2卫,高楼层 (共24层),115.26㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-27,商品房,2023-10-04,普通住宅,未满两年,非共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
736,三江公园洋房 户型方正 诚心出售 随时看房,175万,12803,新北区龙虎塘,牡丹·三江公园,4室2厅1厨2卫,低楼层 (共9层),136.69㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，租金比较高，都是自住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产盘龙苑店经纪人，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
737,香树湾名苑  婚房装修   中间楼层，，诚心出售,130万,10577,新北区龙虎塘,香树湾名苑,3室2厅1厨1卫,中楼层 (共11层),122.91㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房视野开阔，配套完善，交通便利,此房总价低，适合预算不是太多的客户，首 套一家人或 是老人居住。,,首套房90平及以下契税1%，90平以上契税1.5% 二套房90平及以下契税1%，90平以上契税2% 三套及以上契税3%,,,,,,小区北边有祥龙公园，玲珑菜场和，生活购物休闲娱乐，配套设施齐全,,,,,,
738,牡丹水岸国际包车位，中间楼层采光好,248万,17589,新北区龙虎塘,牡丹·水岸国际,4室2厅1厨2卫,中楼层 (共18层),141㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-15,商品房,2016-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,户型正，交通便捷，设施齐全，门口就是地铁口，BRT。,,,税费解析： 存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适，一梯两户，得房率高,小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,小区环境小区环境优美 小区有一个大花园 2.小区教育资源成熟 医院 警察局 银行 饭店 3.小区配套设施完善、环境优美 房，七十年产权商品房 4.三房朝南、客厅朝西，全明户型,,,,,,,
