,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
557,天禄西阆苑 3室2厅 南 北,150万,12802,新北区小新桥,天禄西阆苑,3室2厅1厨2卫,低楼层 (共15层),117.17㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-13,商品房,2021-09-22,普通住宅,暂无数据,共有,有抵押 100万元,已上传房本照片,,,,,,,,,,,,,,,
558,锦海尚城 2室2厅 南,103万,11761,新北区小新桥,锦海尚城,2室2厅1厨1卫,低楼层 (共22层),87.58㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-22,商品房,2020-04-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
559,房东诚心出售，价格可谈，不唯一，采光好,63万,7341,新北区小新桥,长宏公寓,2室2厅1厨1卫,中楼层 (共11层),85.83㎡,暂无数据,71.14㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,2012-11-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满二不唯一， 小区地理位置优越 ，交通便捷,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候有缘人的到来！,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
560,滨江明珠城 出行方便 户型方正 精装修 随时可看,128万,11086,新北区小新桥,滨江明珠城,2室2厅1厨2卫,低楼层 (共11层),115.47㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,2017-02-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房出行方便 接地气 户型方正 精装修 拎包可住 随时可看,,,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收取,此房适宜一家人居住，小巢卫浴，出行方便，业主诚心置换，期待有缘人接盘,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,,,,,,,,,
561,楼栋好，采光好，房东诚心出售，价格可议,70万,8118,新北区小新桥,百馨西苑一期,2室2厅1厨1卫,中楼层 (共11层),86.23㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,2024-03-03,普通住宅,未满两年,共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,房子产证满两年采光好.无遮挡视现房得 房 率 高 已装修，拎包入住，,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
562,房东诚心出售，楼层好，采光好，精装修,118万,11457,新北区小新桥,春江人家,3室2厅1厨1卫,高楼层 (共15层),103㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售，楼层好，采光好，精装修，小区配套齐全,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",适合老人住，小区很安静，楼下可以晒被子很适合老人颐养天年，或者作为刚需安家定居，总价不高，首付适合。,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,,,
563,全明户型，南北通空间，惬意悠享假日生活；方正通透,78万,9286,新北区小新桥,新景花苑二期,2室2厅1厨1卫,中楼层 (共18层),84㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,新空毛坯，一砖一瓦一柜都倾注了很多心思，现在政策利好，家庭人员越来越多，需要置换一套大户，才忍痛割爱，期待有缘人收下这套爱的小屋,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。。论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
564,西瑶苑 3室1厅 南,130万,11845,新北区小新桥,西瑶苑,3室1厅1厨1卫,中楼层 (共18层),109.76㎡,平层,暂无数据,板楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,2023-09-17,普通住宅,未满两年,非共有,有抵押 35万元,已上传房本照片,,,,,,,,,,,,,,,
565,新龙江城市广场 2室1厅 南 北,48万,7098,新北区小新桥,新龙江城市广场,2室1厅1厨1卫,低楼层 (共26层),67.63㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,商住两用,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,未知,未知
566,新景花苑二期 电梯房 全天采光 随时看房,87万,10358,新北区小新桥,新景花苑二期,2室2厅1厨1卫,低楼层 (共18层),84㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房楼层好 户型好 随时可看业主诚心出售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,,,,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有停车场,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,,
567,新景花苑一期   毛坯两居   好户型   诚心出售,90万,11208,新北区小新桥,新景花苑西区,2室1厅1厨1卫,低楼层 (共15层),80.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
568,房东诚心出售，看房提前联系，价格可议,130万,12665,新北区小新桥,星河时代,3室2厅1厨2卫,高楼层 (共27层),102.65㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-15,商品房,2023-12-07,普通住宅,未满两年,非共有,暂无数据,已上传房本照片,此房南北通风 楼层好 户型方正有钥匙 随时可看,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,,,,,,,,
569,新龙江城市广场 2室1厅 南 北,48万,7098,新北区小新桥,新龙江城市广场,2室1厅1厨1卫,低楼层 (共26层),67.63㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,商住两用,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,未知,未知
570,房东诚心出售，价格优惠力度大，可小刀,50万,5575,新北区小新桥,百馨西苑五期,2室2厅1厨1卫,低楼层 (共34层),89.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,三梯六户,有,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通风 楼层好 户型方正有，时可看,,,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,适合老人住，小区很安静，楼下可以晒被子很适合老人颐养天年，或者作为刚需安家定居，总价不高，首付适合。,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
571,新景花苑二期，配套齐全，交通便利，采光刺眼,90万,10560,新北区小新桥,新景花苑二期,2室2厅1厨1卫,中楼层 (共11层),85.23㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-09,商品房,2019-03-13,普通住宅,暂无数据,非共有,有抵押 53万元,已上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利..,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
572,新景花苑一期   毛坯两居   好户型   诚心出售,90万,11208,新北区小新桥,新景花苑西区,2室1厅1厨1卫,低楼层 (共15层),80.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
573,房东诚心出售，看房提前联系，价格可议,130万,12665,新北区小新桥,星河时代,3室2厅1厨2卫,高楼层 (共27层),102.65㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-15,商品房,2023-12-07,普通住宅,未满两年,非共有,暂无数据,已上传房本照片,此房南北通风 楼层好 户型方正有钥匙 随时可看,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,,,,,,,,
574,百馨西苑三期 3室2厅 南,120万,9437,新北区小新桥,百馨西苑三期,3室2厅1厨2卫,低楼层 (共27层),127.17㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,2023-01-22,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
575,西瑶苑 3室1厅 南,130万,11845,新北区小新桥,西瑶苑,3室1厅1厨1卫,中楼层 (共18层),109.76㎡,平层,暂无数据,板楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,2023-09-17,普通住宅,未满两年,非共有,有抵押 35万元,已上传房本照片,,,,,,,,,,,,,,,
